file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,171,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,2,11
styles.css,172,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,0
styles.css,173,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,174,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,175,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,4
styles.css,176,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,16
styles.css,177,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,14
styles.css,178,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,179,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,180,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,46
styles.css,181,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,182,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,40
styles.css,183,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
styles.css,184,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,9
styles.css,185,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,35
styles.css,186,css,69835a93,Gabriel Tedja,2025-10-17,17:31:22,-07:00,2025-10-17T17:31:22-07:00,0,0
styles.css,187,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,10
styles.css,188,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,2,17
styles.css,189,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,1,0
styles.css,190,css,1c07e220,Gabriel Tedja,2025-10-31,23:20:03,-07:00,2025-10-31T23:20:03-07:00,0,0
index.js,1,js,8978c6a5,Gabriel Tedja,2025-10-24,21:54:38,-07:00,2025-10-24T21:54:38-07:00,0,71
index.js,2,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,0,54
index.js,3,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,0,42
index.js,4,js,8978c6a5,Gabriel Tedja,2025-10-24,21:54:38,-07:00,2025-10-24T21:54:38-07:00,0,52
index.js,5,js,8978c6a5,Gabriel Tedja,2025-10-24,21:54:38,-07:00,2025-10-24T21:54:38-07:00,0,62
index.js,6,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,0,52
index.js,7,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,0,60
index.js,8,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,0,0
index.js,9,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,0,17
index.js,10,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,1,24
index.js,11,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,4,2
index.js,12,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,5,55
index.js,13,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,5,55
index.js,14,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,5,49
index.js,15,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,5,49
index.js,16,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,4,3
index.js,17,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,2,0
index.js,18,js,e5c5eb27,Gabriel Tedja,2025-10-24,20:35:38,-07:00,2025-10-24T20:35:38-07:00,0,0
index.html,1,html,57294b24,Gabriel Tedja,2025-09-28,16:35:24,-07:00,2025-09-28T16:35:24-07:00,0,13
index.html,2,html,57294b24,Gabriel Tedja,2025-09-28,16:35:24,-07:00,2025-09-28T16:35:24-07:00,0,14
index.html,3,html,57294b24,Gabriel Tedja,2025-09-28,16:35:24,-07:00,2025-09-28T16:35:24-07:00,0,4
index.html,4,html,57294b24,Gabriel Tedja,2025-09-28,16:35:24,-07:00,2025-09-28T16:35:24-07:00,2,20
index.html,5,html,57294b24,Gabriel Tedja,2025-09-28,16:35:24,-07:00,2025-09-28T16:35:24-07:00,2,68
index.html,6,html,57294b24,Gabriel Tedja,2025-09-28,16:35:24,-07:00,2025-09-28T16:35:24-07:00,2,55
index.html,7,html,7800fbc3,Gabriel Tedja,2025-10-03,08:54:48,-07:00,2025-10-03T08:54:48-07:00,2,39
